area,session,context,condition,object,n_files,events_list,events_set,is_complete,missing_events,n_neurons
F6,MonkeyC_Session07,Context2,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,1
F6,MonkeyC_Session07,Context2,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,1
F6,MonkeyC_Session07,Context2,Condition2,Object1,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,1
F6,MonkeyC_Session07,Context2,Condition2,Object2,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,1
F6,MonkeyC_Session07,Context2,Condition2,Object3,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,1
F6,MonkeyC_Session08,Context1,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context1,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context1,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context2,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context2,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context2,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context2,Condition2,Object1,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context2,Condition2,Object2,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,9
F6,MonkeyC_Session08,Context2,Condition2,Object3,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,9
F6,MonkeyC_Session09,Context1,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context1,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context1,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context2,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context2,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context2,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context2,Condition2,Object1,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context2,Condition2,Object2,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,2
F6,MonkeyC_Session09,Context2,Condition2,Object3,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,2
